Sample,Location,Station,Depth,Fucose,Galactosamine,Arabinose,Glucosamine,Galactose,Glucose,Xylose
S1_SRF,Above slope,S1,SRF,0.268153381,0.03339794,NA,0.100344662,0.552872735,1.555633896,0.609485586
S1_BML,Above slope,S1,BML,0.059013881,0.020130254,NA,0.03264244,0.151942134,0.552064713,0.409270737
S1_100m,Above slope,S1,m100,0.103416389,NA,0.027681238,0.055539731,0.200941909,0.410552692,0.251342804
S1_200m,Above slope,S1,m200,0.010729149,NA,0.029995568,0.026818883,0.061748581,0.288838991,0.156136013
S6_SRF,Above slope,S6,SRF,0.300000511,0.122380666,0.162007058,0.174275391,0.621744069,3.062075364,0.737396423
S6_BML,Above slope,S6,BML,0.145510548,NA,0.037756418,0.070562685,0.298958969,0.682401939,0.443733233
S6_100m,Above slope,S6,m100,0.013640095,NA,NA,0.014670809,0.032324581,0.173542597,0.25378615
S6_200m,Above slope,S6,m200,0.011599352,NA,NA,0.025450533,0.052695468,0.272758785,0.332069397
S8_SRF,Above slope,S8,SRF,0.370194343,0.027928579,0.086806625,0.115228864,0.6554549,1.185612662,0.647366936
S8_BML,Above slope,S8,BML,0.339589948,0.025786169,0.079938191,0.10824942,0.583714138,1.186169667,0.621461444
S11_SRF,Above slope,S11,SRF,0.330095684,0.028187692,0.069383064,0.12521858,0.59589893,1.42015685,0.619256932
S11_BML,Above slope,S11,BML,0.314722734,0.086043419,0.072589303,0.107547034,0.547559259,1.498805912,0.59662397
S25_SRF,Above slope,S25,SRF,0.412752483,NA,0.066396145,0.136680063,0.697778988,2.591310006,0.736419487
S25_BML,Above slope,S25,BML,0.266408161,NA,0.044182389,0.086726669,0.433818571,1.336188812,0.49106453
S26_SRF,Open ocean,S26,SRF,0.18899761,NA,0.055731135,0.075338863,0.452002975,0.817304558,0.44715094
S26_BML,Open ocean,S26,BML,0.160941255,NA,0.034654971,0.056257868,0.361030996,0.645649508,0.340454058
S36_SRF,Open ocean,S36,SRF,0.119718261,NA,0.051209408,0.057234387,0.267694669,0.866222977,0.356051786
S36_BML,Open ocean,S36,BML,0.07446769,NA,0.028924314,0.031751386,0.094670897,0.213768782,0.165823444
S41_SRF,Open ocean,S41,SRF,0.180449595,NA,0.035952511,0.072835277,0.340518886,0.952272023,0.355709888
S41_BML,Open ocean,S41,BML,0.083955216,NA,NA,0.041820057,0.14799531,0.29836598,0.184944412
S44_SRF,Open ocean,S44,SRF,0.1242541,NA,0.040728268,0.060928146,0.309354427,0.864110363,0.308705984
S44_BML,Open ocean,S44,BML,0.088974287,NA,0.028718013,0.051715603,0.208439832,0.405367874,0.240516675
